DiscFacAdj,0.9394622208178596
CRRA,3.444428443382418
time_to_estimate,161.6863877773285
params,"[0.9394622208178596, 3.444428443382418]"
criterion,270.1110199700508
start_criterion,270.0806969120871
start_params,"[0.9394622208178596, 3.444428443382418]"
algorithm,multistart_pounders
direction,minimize
n_free,2
message,Norm of the gradient relative to the criterion value is less than relative_gradient_tolerance.
success,True
n_criterion_evaluations,
n_derivative_evaluations,
n_iterations,50
