CRRA,7.0792573883887195
DiscFac,0.9710907218282636
time_to_estimate,265.2772467136383
params,"{'CRRA': 7.0792573883887195, 'DiscFac': 0.9710907218282636}"
criterion,497.887755198283
start_criterion,497.887755198283
start_params,"{'CRRA': 7.0792573883887195, 'DiscFac': 0.9710907218282636}"
algorithm,multistart_scipy_neldermead
direction,minimize
n_free,2
message,Optimization terminated successfully.
success,True
n_criterion_evaluations,126
n_derivative_evaluations,
n_iterations,61
