CRRA,20.0
time_to_estimate,31.586693286895752
params,{'CRRA': 20.0}
criterion,545.5289783773414
start_criterion,733.54380523395
start_params,{'CRRA': 10.0}
algorithm,multistart_tranquilo_ls
direction,minimize
n_free,1
message,Relative criterion change smaller than tolerance.
success,
n_criterion_evaluations,
n_derivative_evaluations,
n_iterations,
history,"{'params': [{'CRRA': 17.6375}, {'CRRA': 15.87375}, {'CRRA': 19.401249999999997}, {'CRRA': 15.87375}, {'CRRA': 15.87375}, {'CRRA': 19.401249999999997}, {'CRRA': 15.87375}, {'CRRA': 15.87375}, {'CRRA': 19.401249999999997}, {'CRRA': 15.87375}, {'CRRA': 19.401249999999997}, {'CRRA': 15.87375}, {'CRRA': 19.401249999999997}, {'CRRA': 19.401249999999997}, {'CRRA': 20.0}, {'CRRA': 16.4725}, {'CRRA': 20.0}], 'criterion': [581.285085559327, 610.8188953849143, 554.1088341104011, 610.8188953849143, 610.8188953849143, 554.1088341104011, 610.8188953849143, 610.8188953849143, 554.1088341104011, 610.8188953849143, 554.1088341104011, 610.8188953849143, 554.1088341104011, 554.1088341104011, 545.5289783773414, 600.4200776588473, 545.5289783773414], 'runtime': [0.0, 1.848973471000022, 1.8849454510000214, 1.9204900119999593, 1.9577211949999764, 1.9954405590000306, 2.030889370999944, 2.07006989599995, 2.1081740239999363, 2.14206402100001, 2.1855306239999663, 2.2240026019999277, 2.2633266089999324, 4.490001733999975, 6.246915554999987, 8.230360949999977, 9.971904687000006], 'batches': [0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 4, 5]}"
convergence_report,
multistart_info,"{'start_parameters': [{'CRRA': 17.6375}], 'local_optima': [Minimize with 1 free parameters terminated.

The tranquilo_ls algorithm reported: Relative criterion change smaller than tolerance.

Independent of the convergence criteria used by tranquilo_ls, the strength of convergence can be assessed by the following criteria:

                          one_step  five_steps
relative_criterion_change   0***    0.01573   
relative_params_change      0***    0.02994   
absolute_criterion_change   0***       8.58   
absolute_params_change      0***     0.5988   

(***: change <= 1e-10, **: change <= 1e-8, *: change <= 1e-5. Change refers to a change between accepted steps. The first column only considers the last step. The second column considers the last five steps.)], 'exploration_sample': [{'CRRA': 17.6375}, {'CRRA': 15.274999999999999}, {'CRRA': 14.093749999999998}, {'CRRA': 12.9125}, {'CRRA': 10.549999999999999}, {'CRRA': 10.0}, {'CRRA': 8.1875}, {'CRRA': 5.824999999999999}, {'CRRA': 4.64375}, {'CRRA': 3.4625}], 'exploration_results': array([581.28508556, 621.70306718, 644.50943672, 668.1855036 ,
       719.99669232, 733.72899388, 779.65859348, 834.94152545,
       856.28640414, 868.80907459])}"
