CRRA,10.219768718617258
DiscFac,0.8035952003147214
time_to_estimate,134.71642017364502
params,"{'CRRA': 10.219768718617258, 'DiscFac': 0.8035952003147214}"
criterion,1.4324246742584341
start_criterion,18.424123431628693
start_params,"{'CRRA': 5.0, 'DiscFac': 0.95}"
algorithm,multistart_tranquilo_ls
direction,minimize
n_free,2
message,Absolute params change smaller than tolerance.
success,
n_criterion_evaluations,
n_derivative_evaluations,
n_iterations,
